paper,time_bin,-1,0,1,2,3,4,5,6,7,8,9
Evening Standard,2021-04-01,0.0,0.0,0.9230769230769231,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2021-07-01,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2021-10-01,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
Evening Standard,2022-01-01,0.4375,0.0625,0.3125,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0
Evening Standard,2022-04-01,0.125,0.625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2022-07-01,0.0,0.25,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2022-10-01,0.16666666666666666,0.3333333333333333,0.25,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0
Evening Standard,2023-01-01,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0
Evening Standard,2023-04-01,0.2,0.06666666666666667,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2023-07-01,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2023-10-01,0.0,0.11764705882352941,0.8235294117647058,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
Evening Standard,2024-01-01,0.0,0.375,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125
Evening Standard,2024-04-01,0.0,0.1111111111111111,0.3333333333333333,0.0,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Evening Standard,2024-07-01,0.016666666666666666,0.0,0.95,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0
Evening Standard,2024-10-01,0.0625,0.25,0.5625,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0
